"","Date","period","GoldPrice","Date2","OilPrice","GoldPrice_interp","OilPrice_interp"
"1305",2013-07-28,NA,NA,NA,NA,863.363333333333,104.66
"1306",2013-07-29,2013-07-29,864.18,2013-07-29,104.61,864.18,104.61
"1307",2013-07-30,2013-07-30,864.05,2013-07-30,103.14,864.05,103.14
"1308",2013-07-31,2013-07-31,875.35,2013-07-31,105.1,875.35,105.1
"1309",2013-08-01,2013-08-01,870.26,2013-08-01,107.93,870.26,107.93
"1310",2013-08-02,2013-08-02,847.84,2013-08-02,106.94,847.84,106.94
"1311",2013-08-03,NA,NA,NA,NA,849.53,106.83
"1312",2013-08-04,NA,NA,NA,NA,851.22,106.72
"1313",2013-08-05,2013-08-05,852.91,2013-08-05,106.61,852.91,106.61
"1314",2013-08-06,2013-08-06,840.38,2013-08-06,105.32,840.38,105.32
"1315",2013-08-07,2013-08-07,838.04,2013-08-07,104.41,838.04,104.41
"1316",2013-08-08,2013-08-08,830.11,2013-08-08,103.45,830.11,103.45
"1317",2013-08-09,2013-08-09,839.44,2013-08-09,106.04,839.44,106.04
"1318",2013-08-10,NA,NA,NA,NA,845.156666666667,106.09
"1319",2013-08-11,NA,NA,NA,NA,850.873333333333,106.14
"1320",2013-08-12,2013-08-12,856.59,2013-08-12,106.19,856.59,106.19
"1321",2013-08-13,2013-08-13,862.31,2013-08-13,106.78,862.31,106.78
"1322",2013-08-14,2013-08-14,855.53,2013-08-14,106.89,855.53,106.89
"1323",2013-08-15,2013-08-15,859.37,2013-08-15,107.43,859.37,107.43
"1324",2013-08-16,2013-08-16,870.1,2013-08-16,107.58,870.1,107.58
"1325",2013-08-17,NA,NA,NA,NA,872.89,107.433333333333
"1326",2013-08-18,NA,NA,NA,NA,875.68,107.286666666667
"1327",2013-08-19,2013-08-19,878.47,2013-08-19,107.14,878.47,107.14
"1328",2013-08-20,2013-08-20,871.29,2013-08-20,104.9,871.29,104.9
"1329",2013-08-21,2013-08-21,867.29,2013-08-21,103.93,867.29,103.93
"1330",2013-08-22,2013-08-22,879.6,2013-08-22,104.93,879.6,104.93
"1331",2013-08-23,2013-08-23,880.3,2013-08-23,106.48,880.3,106.48
"1332",2013-08-24,NA,NA,NA,NA,887.57,106.28
"1333",2013-08-25,NA,NA,NA,NA,894.84,106.08
"1334",2013-08-26,NA,NA,2013-08-26,105.88,902.11,105.88
"1335",2013-08-27,2013-08-27,909.38,2013-08-27,109.11,909.38,109.11
"1336",2013-08-28,2013-08-28,919.92,2013-08-28,110.17,919.92,110.17
"1337",2013-08-29,2013-08-29,906.79,2013-08-29,108.51,906.79,108.51
"1338",2013-08-30,2013-08-30,899.19,2013-08-30,107.98,899.19,107.98
"1339",2013-08-31,NA,NA,NA,NA,897.173333333333,108.1525
"1340",2013-09-01,NA,NA,NA,NA,895.156666666667,108.325
"1341",2013-09-02,2013-09-02,893.14,2013-09-02,NA,893.14,108.4975
"1342",2013-09-03,2013-09-03,893.09,2013-09-03,108.67,893.09,108.67
"1343",2013-09-04,2013-09-04,899.67,2013-09-04,107.29,899.67,107.29
"1344",2013-09-05,2013-09-05,891.06,2013-09-05,108.5,891.06,108.5
"1345",2013-09-06,2013-09-06,877.87,2013-09-06,110.62,877.87,110.62
"1346",2013-09-07,NA,NA,NA,NA,880.003333333333,110.286666666667
"1347",2013-09-08,NA,NA,NA,NA,882.136666666667,109.953333333333
"1348",2013-09-09,2013-09-09,884.27,2013-09-09,109.62,884.27,109.62
"1349",2013-09-10,2013-09-10,874.3,2013-09-10,107.48,874.3,107.48
"1350",2013-09-11,2013-09-11,865.73,2013-09-11,107.65,865.73,107.65
"1351",2013-09-12,2013-09-12,847.46,2013-09-12,108.72,847.46,108.72
"1352",2013-09-13,2013-09-13,827.12,2013-09-13,108.31,827.12,108.31
"1353",2013-09-14,NA,NA,NA,NA,826.47,107.72
"1354",2013-09-15,NA,NA,NA,NA,825.82,107.13
"1355",2013-09-16,2013-09-16,825.17,2013-09-16,106.54,825.17,106.54
"1356",2013-09-17,2013-09-17,828.67,2013-09-17,105.36,828.67,105.36
"1357",2013-09-18,2013-09-18,813.97,2013-09-18,108.23,813.97,108.23
"1358",2013-09-19,2013-09-19,848.16,2013-09-19,106.26,848.16,106.26
"1359",2013-09-20,2013-09-20,845.39,2013-09-20,104.7,845.39,104.7
"1360",2013-09-21,NA,NA,NA,NA,838.373333333333,104.34
"1361",2013-09-22,NA,NA,NA,NA,831.356666666667,103.98
"1362",2013-09-23,2013-09-23,824.34,2013-09-23,103.62,824.34,103.62
"1363",2013-09-24,2013-09-24,823.43,2013-09-24,103.22,823.43,103.22
"1364",2013-09-25,2013-09-25,825.36,2013-09-25,102.68,825.36,102.68
"1365",2013-09-26,2013-09-26,830.22,2013-09-26,103.1,830.22,103.1
"1366",2013-09-27,2013-09-27,822.03,2013-09-27,102.86,822.03,102.86
"1367",2013-09-28,NA,NA,NA,NA,823.786666666667,102.693333333333
"1368",2013-09-29,NA,NA,NA,NA,825.543333333333,102.526666666667
"1369",2013-09-30,2013-09-30,827.3,2013-09-30,102.36,827.3,102.36
"1370",2013-10-01,2013-10-01,819.85,2013-10-01,102.09,819.85,102.09
"1371",2013-10-02,2013-10-02,797.92,2013-10-02,104.15,797.92,104.15
"1372",2013-10-03,2013-10-03,806.63,2013-10-03,103.29,806.63,103.29
"1373",2013-10-04,2013-10-04,817.04,2013-10-04,103.83,817.04,103.83
"1374",2013-10-05,NA,NA,NA,NA,816.78,103.576666666667
"1375",2013-10-06,NA,NA,NA,NA,816.52,103.323333333333
"1376",2013-10-07,2013-10-07,816.26,2013-10-07,103.07,816.26,103.07
"1377",2013-10-08,2013-10-08,821.82,2013-10-08,103.54,821.82,103.54
"1378",2013-10-09,2013-10-09,819.77,2013-10-09,101.63,819.77,101.63
"1379",2013-10-10,2013-10-10,814.51,2013-10-10,103.08,814.51,103.08
"1380",2013-10-11,2013-10-11,804.3,2013-10-11,102.17,804.3,102.17
"1381",2013-10-12,NA,NA,NA,NA,802.7,102.266666666667
"1382",2013-10-13,NA,NA,NA,NA,801.1,102.363333333333
"1383",2013-10-14,2013-10-14,799.5,2013-10-14,102.46,799.5,102.46
"1384",2013-10-15,2013-10-15,787.79,2013-10-15,101.15,787.79,101.15
"1385",2013-10-16,2013-10-16,797.71,2013-10-16,102.34,797.71,102.34
"1386",2013-10-17,2013-10-17,813.09,2013-10-17,100.72,813.09,100.72
"1387",2013-10-18,2013-10-18,813.16,2013-10-18,100.87,813.16,100.87
"1388",2013-10-19,NA,NA,NA,NA,813.456666666667,100.34
"1389",2013-10-20,NA,NA,NA,NA,813.753333333333,99.81
"1390",2013-10-21,2013-10-21,814.05,2013-10-21,99.28,814.05,99.28
"1391",2013-10-22,2013-10-22,813.24,2013-10-22,97.63,813.24,97.63
"1392",2013-10-23,2013-10-23,825.13,2013-10-23,96.9,825.13,96.9
"1393",2013-10-24,2013-10-24,825.76,2013-10-24,96.65,825.76,96.65
"1394",2013-10-25,2013-10-25,827.58,2013-10-25,97.4,827.58,97.4
"1395",2013-10-26,NA,NA,NA,NA,829.616666666667,97.8466666666667
"1396",2013-10-27,NA,NA,NA,NA,831.653333333333,98.2933333333333
"1397",2013-10-28,2013-10-28,833.69,2013-10-28,98.74,833.69,98.74
"1398",2013-10-29,2013-10-29,837.06,2013-10-29,98.29,837.06,98.29
"1399",2013-10-30,2013-10-30,840.23,2013-10-30,96.81,840.23,96.81
"1400",2013-10-31,2013-10-31,832.03,2013-10-31,96.29,832.03,96.29
"1401",2013-11-01,2013-11-01,821.67,2013-11-01,94.56,821.67,94.56
"1402",2013-11-02,NA,NA,NA,NA,822.27,94.5666666666667
"1403",2013-11-03,NA,NA,NA,NA,822.87,94.5733333333333
"1404",2013-11-04,2013-11-04,823.47,2013-11-04,94.58,823.47,94.58
"1405",2013-11-05,2013-11-05,817.08,2013-11-05,93.4,817.08,93.4
"1406",2013-11-06,2013-11-06,817.66,2013-11-06,94.74,817.66,94.74
"1407",2013-11-07,2013-11-07,818.46,2013-11-07,94.25,818.46,94.25
"1408",2013-11-08,2013-11-08,814.16,2013-11-08,94.56,814.16,94.56
"1409",2013-11-09,NA,NA,NA,NA,809.953333333333,94.75
"1410",2013-11-10,NA,NA,NA,NA,805.746666666667,94.94
"1411",2013-11-11,2013-11-11,801.54,2013-11-11,95.13,801.54,95.13
"1412",2013-11-12,2013-11-12,807.03,2013-11-12,93.12,807.03,93.12
"1413",2013-11-13,2013-11-13,798.75,2013-11-13,93.91,798.75,93.91
"1414",2013-11-14,2013-11-14,801.53,2013-11-14,93.76,801.53,93.76
"1415",2013-11-15,2013-11-15,797.65,2013-11-15,93.8,797.65,93.8
"1416",2013-11-16,NA,NA,NA,NA,797.436666666667,93.5433333333333
"1417",2013-11-17,NA,NA,NA,NA,797.223333333333,93.2866666666667
"1418",2013-11-18,2013-11-18,797.01,2013-11-18,93.03,797.01,93.03
"1419",2013-11-19,2013-11-19,790.12,2013-11-19,93.35,790.12,93.35
"1420",2013-11-20,2013-11-20,787.11,2013-11-20,93.34,787.11,93.34
"1421",2013-11-21,2013-11-21,775.76,2013-11-21,95.35,775.76,95.35
"1422",2013-11-22,2013-11-22,766.75,2013-11-22,94.53,766.75,94.53
"1423",2013-11-23,NA,NA,NA,NA,764.69,94.3066666666667
"1424",2013-11-24,NA,NA,NA,NA,762.63,94.0833333333333
"1425",2013-11-25,2013-11-25,760.57,2013-11-25,93.86,760.57,93.86
"1426",2013-11-26,2013-11-26,773.69,2013-11-26,93.41,773.69,93.41
"1427",2013-11-27,2013-11-27,767.99,2013-11-27,92.05,767.99,92.05
"1428",2013-11-28,2013-11-28,760.46,2013-11-28,NA,760.46,92.3
"1429",2013-11-29,2013-11-29,763.07,2013-11-29,92.55,763.07,92.55
"1430",2013-11-30,NA,NA,NA,NA,760.146666666667,92.9033333333333
"1431",2013-12-01,NA,NA,NA,NA,757.223333333333,93.2566666666667
"1432",2013-12-02,2013-12-02,754.3,2013-12-02,93.61,754.3,93.61
"1433",2013-12-03,2013-12-03,743.07,2013-12-03,95.83,743.07,95.83
"1434",2013-12-04,2013-12-04,741.13,2013-12-04,96.97,741.13,96.97
"1435",2013-12-05,2013-12-05,754.79,2013-12-05,97.14,754.79,97.14
"1436",2013-12-06,2013-12-06,752.38,2013-12-06,97.48,752.38,97.48
"1437",2013-12-07,NA,NA,NA,NA,751.57,97.3533333333333
"1438",2013-12-08,NA,NA,NA,NA,750.76,97.2266666666667
"1439",2013-12-09,2013-12-09,749.95,2013-12-09,97.1,749.95,97.1
"1440",2013-12-10,2013-12-10,757.76,2013-12-10,98.32,757.76,98.32
"1441",2013-12-11,2013-12-11,765.49,2013-12-11,97.25,765.49,97.25
"1442",2013-12-12,2013-12-12,758.51,2013-12-12,97.21,758.51,97.21
"1443",2013-12-13,2013-12-13,750.89,2013-12-13,96.27,750.89,96.27
"1444",2013-12-14,NA,NA,NA,NA,752.116666666667,96.5733333333333
"1445",2013-12-15,NA,NA,NA,NA,753.343333333333,96.8766666666667
"1446",2013-12-16,2013-12-16,754.57,2013-12-16,97.18,754.57,97.18
"1447",2013-12-17,2013-12-17,759.42,2013-12-17,96.99,759.42,96.99
"1448",2013-12-18,2013-12-18,754.05,2013-12-18,97.59,754.05,97.59
"1449",2013-12-19,2013-12-19,736.35,2013-12-19,98.4,736.35,98.4
"1450",2013-12-20,2013-12-20,731.69,2013-12-20,99.11,731.69,99.11
"1451",2013-12-21,NA,NA,NA,NA,730.95,98.9466666666667
"1452",2013-12-22,NA,NA,NA,NA,730.21,98.7833333333333
"1453",2013-12-23,2013-12-23,729.47,2013-12-23,98.62,729.47,98.62
"1454",2013-12-24,2013-12-24,732.12,2013-12-24,98.87,732.12,98.87
"1455",2013-12-25,NA,NA,2013-12-25,NA,732.446666666667,99.025
"1456",2013-12-26,NA,NA,2013-12-26,99.18,732.773333333333,99.18
"1457",2013-12-27,2013-12-27,733.1,2013-12-27,99.94,733.1,99.94
"1458",2013-12-28,NA,NA,NA,NA,731.83,99.5933333333333
"1459",2013-12-29,NA,NA,NA,NA,730.56,99.2466666666667
"1460",2013-12-30,2013-12-30,729.29,2013-12-30,98.9,729.29,98.9
"1461",2013-12-31,2013-12-31,726.99,2013-12-31,98.17,726.99,98.17
"1462",2014-01-01,NA,NA,2014-01-01,NA,732.02,96.655
"1463",2014-01-02,2014-01-02,737.05,2014-01-02,95.14,737.05,95.14
"1464",2014-01-03,2014-01-03,748.45,2014-01-03,93.66,748.45,93.66
"1465",2014-01-04,NA,NA,NA,NA,751.146666666667,93.48
"1466",2014-01-05,NA,NA,NA,NA,753.843333333333,93.3
"1467",2014-01-06,2014-01-06,756.54,2014-01-06,93.12,756.54,93.12
"1468",2014-01-07,2014-01-07,754.44,2014-01-07,93.31,754.44,93.31
"1469",2014-01-08,2014-01-08,747.37,2014-01-08,91.9,747.37,91.9
"1470",2014-01-09,2014-01-09,744.97,2014-01-09,91.36,744.97,91.36
"1471",2014-01-10,2014-01-10,750.78,2014-01-10,92.39,750.78,92.39
"1472",2014-01-11,NA,NA,NA,NA,753.14,92.0766666666667
"1473",2014-01-12,NA,NA,NA,NA,755.5,91.7633333333333
"1474",2014-01-13,2014-01-13,757.86,2014-01-13,91.45,757.86,91.45
"1475",2014-01-14,2014-01-14,760.97,2014-01-14,92.15,760.97,92.15
"1476",2014-01-15,2014-01-15,753.91,2014-01-15,93.78,753.91,93.78
"1477",2014-01-16,2014-01-16,757.19,2014-01-16,93.54,757.19,93.54
"1478",2014-01-17,2014-01-17,754.68,2014-01-17,93.96,754.68,93.96
"1479",2014-01-18,NA,NA,NA,NA,757.56,94.0975
"1480",2014-01-19,NA,NA,NA,NA,760.44,94.235
"1481",2014-01-20,2014-01-20,763.32,2014-01-20,NA,763.32,94.3725
"1482",2014-01-21,2014-01-21,758.93,2014-01-21,94.51,758.93,94.51
"1483",2014-01-22,2014-01-22,749.67,2014-01-22,96.35,749.67,96.35
"1484",2014-01-23,2014-01-23,749.91,2014-01-23,97.23,749.91,97.23
"1485",2014-01-24,2014-01-24,757.4,2014-01-24,96.66,757.4,96.66
"1486",2014-01-25,NA,NA,NA,NA,760.646666666667,96.38
"1487",2014-01-26,NA,NA,NA,NA,763.893333333333,96.1
"1488",2014-01-27,2014-01-27,767.14,2014-01-27,95.82,767.14,95.82
"1489",2014-01-28,2014-01-28,757.04,2014-01-28,97.49,757.04,97.49
"1490",2014-01-29,2014-01-29,756.42,2014-01-29,97.34,756.42,97.34
"1491",2014-01-30,2014-01-30,761.89,2014-01-30,98.25,761.89,98.25
"1492",2014-01-31,2014-01-31,757.34,2014-01-31,97.55,757.34,97.55
"1493",2014-02-01,NA,NA,NA,NA,759.023333333333,97.18
"1494",2014-02-02,NA,NA,NA,NA,760.706666666667,96.81
"1495",2014-02-03,2014-02-03,762.39,2014-02-03,96.44,762.39,96.44
"1496",2014-02-04,2014-02-04,766.83,2014-02-04,97.24,766.83,97.24
"1497",2014-02-05,2014-02-05,772.3,2014-02-05,97.4,772.3,97.4
"1498",2014-02-06,2014-02-06,772.42,2014-02-06,97.84,772.42,97.84
"1499",2014-02-07,2014-02-07,771.16,2014-02-07,99.98,771.16,99.98
"1500",2014-02-08,NA,NA,NA,NA,773.09,100.026666666667
"1501",2014-02-09,NA,NA,NA,NA,775.02,100.073333333333
"1502",2014-02-10,2014-02-10,776.95,2014-02-10,100.12,776.95,100.12
"1503",2014-02-11,2014-02-11,780.83,2014-02-11,99.96,780.83,99.96
"1504",2014-02-12,2014-02-12,778.47,2014-02-12,100.38,778.47,100.38
"1505",2014-02-13,2014-02-13,774.93,2014-02-13,100.27,774.93,100.27
"1506",2014-02-14,2014-02-14,783.21,2014-02-14,100.31,783.21,100.31
"1507",2014-02-15,NA,NA,NA,NA,786.13,100.8675
"1508",2014-02-16,NA,NA,NA,NA,789.05,101.425
"1509",2014-02-17,2014-02-17,791.97,2014-02-17,NA,791.97,101.9825
"1510",2014-02-18,2014-02-18,787.44,2014-02-18,102.54,787.44,102.54
"1511",2014-02-19,2014-02-19,791.14,2014-02-19,103.46,791.14,103.46
"1512",2014-02-20,2014-02-20,788.9,2014-02-20,103.2,788.9,103.2
"1513",2014-02-21,2014-02-21,792.2,2014-02-21,102.53,792.2,102.53
"1514",2014-02-22,NA,NA,NA,NA,794.953333333333,102.743333333333
"1515",2014-02-23,NA,NA,NA,NA,797.706666666667,102.956666666667
"1516",2014-02-24,2014-02-24,800.46,2014-02-24,103.17,800.46,103.17
"1517",2014-02-25,2014-02-25,798.53,2014-02-25,102.2,798.53,102.2
"1518",2014-02-26,2014-02-26,803.12,2014-02-26,102.93,803.12,102.93
"1519",2014-02-27,2014-02-27,799.88,2014-02-27,102.68,799.88,102.68
"1520",2014-02-28,2014-02-28,793.21,2014-02-28,102.88,793.21,102.88
"1521",2014-03-01,NA,NA,NA,NA,796.64,103.7
"1522",2014-03-02,NA,NA,NA,NA,800.07,104.52
"1523",2014-03-03,2014-03-03,803.5,2014-03-03,105.34,803.5,105.34
"1524",2014-03-04,2014-03-04,802.87,2014-03-04,103.64,802.87,103.64
"1525",2014-03-05,2014-03-05,799.84,2014-03-05,101.75,799.84,101.75
"1526",2014-03-06,2014-03-06,798,2014-03-06,101.82,798,101.82
"1527",2014-03-07,2014-03-07,805.17,2014-03-07,102.82,805.17,102.82
"1528",2014-03-08,NA,NA,NA,NA,803.736666666667,102.343333333333
"1529",2014-03-09,NA,NA,NA,NA,802.303333333333,101.866666666667
"1530",2014-03-10,2014-03-10,800.87,2014-03-10,101.39,800.87,101.39
"1531",2014-03-11,2014-03-11,810.44,2014-03-11,100.29,810.44,100.29
"1532",2014-03-12,2014-03-12,817.01,2014-03-12,98.29,817.01,98.29
"1533",2014-03-13,2014-03-13,821.7,2014-03-13,98.57,821.7,98.57
"1534",2014-03-14,2014-03-14,824.41,2014-03-14,99.23,824.41,99.23
"1535",2014-03-15,NA,NA,NA,NA,825.983333333333,98.9633333333333
"1536",2014-03-16,NA,NA,NA,NA,827.556666666667,98.6966666666667
"1537",2014-03-17,2014-03-17,829.13,2014-03-17,98.43,829.13,98.43
"1538",2014-03-18,2014-03-18,820.49,2014-03-18,100.08,820.49,100.08
"1539",2014-03-19,2014-03-19,809.72,2014-03-19,100.71,809.72,100.71
"1540",2014-03-20,2014-03-20,802.78,2014-03-20,99.68,802.78,99.68
"1541",2014-03-21,2014-03-21,810.57,2014-03-21,99.97,810.57,99.97
"1542",2014-03-22,NA,NA,NA,NA,807.693333333333,99.9966666666667
"1543",2014-03-23,NA,NA,NA,NA,804.816666666667,100.023333333333
"1544",2014-03-24,2014-03-24,801.94,2014-03-24,100.05,801.94,100.05
"1545",2014-03-25,2014-03-25,796.87,2014-03-25,99.66,796.87,99.66
"1546",2014-03-26,2014-03-26,794.98,2014-03-26,100.61,794.98,100.61
"1547",2014-03-27,2014-03-27,779.14,2014-03-27,101.25,779.14,101.25
"1548",2014-03-28,2014-03-28,779.68,2014-03-28,101.73,779.68,101.73
"1549",2014-03-29,NA,NA,NA,NA,779.046666666667,101.676666666667
"1550",2014-03-30,NA,NA,NA,NA,778.413333333333,101.623333333333
"1551",2014-03-31,2014-03-31,777.78,2014-03-31,101.57,777.78,101.57
"1552",2014-04-01,2014-04-01,772.67,2014-04-01,99.69,772.67,99.69
"1553",2014-04-02,2014-04-02,771.26,2014-04-02,99.6,771.26,99.6
"1554",2014-04-03,2014-04-03,775.13,2014-04-03,100.29,775.13,100.29
"1555",2014-04-04,2014-04-04,780.02,2014-04-04,101.16,780.02,101.16
"1556",2014-04-05,NA,NA,NA,NA,781.266666666667,100.916666666667
"1557",2014-04-06,NA,NA,NA,NA,782.513333333333,100.673333333333
"1558",2014-04-07,2014-04-07,783.76,2014-04-07,100.43,783.76,100.43
"1559",2014-04-08,2014-04-08,786.9,2014-04-08,102.57,786.9,102.57
"1560",2014-04-09,2014-04-09,782.74,2014-04-09,103.55,782.74,103.55
"1561",2014-04-10,2014-04-10,787.73,2014-04-10,103.37,787.73,103.37
"1562",2014-04-11,2014-04-11,785.71,2014-04-11,103.68,785.71,103.68
"1563",2014-04-12,NA,NA,NA,NA,787.876666666667,103.803333333333
"1564",2014-04-13,NA,NA,NA,NA,790.043333333333,103.926666666667
"1565",2014-04-14,2014-04-14,792.21,2014-04-14,104.05,792.21,104.05
"1566",2014-04-15,2014-04-15,784.06,2014-04-15,103.7,784.06,103.7
"1567",2014-04-16,2014-04-16,773.03,2014-04-16,103.71,773.03,103.71
"1568",2014-04-17,2014-04-17,771.89,2014-04-17,104.33,771.89,104.33
"1569",2014-04-18,NA,NA,2014-04-18,NA,770.98,104.335
"1570",2014-04-19,NA,NA,NA,NA,770.07,104.34
"1571",2014-04-20,NA,NA,NA,NA,769.16,104.345
"1572",2014-04-21,NA,NA,2014-04-21,104.35,768.25,104.35
"1573",2014-04-22,2014-04-22,767.34,2014-04-22,101.69,767.34,101.69
"1574",2014-04-23,2014-04-23,763.76,2014-04-23,101.47,763.76,101.47
"1575",2014-04-24,2014-04-24,764.26,2014-04-24,102.2,764.26,102.2
"1576",2014-04-25,2014-04-25,769.38,2014-04-25,100.85,769.38,100.85
"1577",2014-04-26,NA,NA,NA,NA,770.516666666667,100.943333333333
"1578",2014-04-27,NA,NA,NA,NA,771.653333333333,101.036666666667
"1579",2014-04-28,2014-04-28,772.79,2014-04-28,101.13,772.79,101.13
"1580",2014-04-29,2014-04-29,767.07,2014-04-29,101.56,767.07,101.56
"1581",2014-04-30,2014-04-30,768.32,2014-04-30,100.07,768.32,100.07
"1582",2014-05-01,2014-05-01,759.04,2014-05-01,99.69,759.04,99.69
"1583",2014-05-02,2014-05-02,761.03,2014-05-02,100.09,761.03,100.09
"1584",2014-05-03,NA,NA,NA,NA,763.8225,99.9733333333333
"1585",2014-05-04,NA,NA,NA,NA,766.615,99.8566666666667
"1586",2014-05-05,NA,NA,2014-05-05,99.74,769.4075,99.74
"1587",2014-05-06,2014-05-06,772.2,2014-05-06,99.81,772.2,99.81
"1588",2014-05-07,2014-05-07,772.54,2014-05-07,101.06,772.54,101.06
"1589",2014-05-08,2014-05-08,761.13,2014-05-08,100.52,761.13,100.52
"1590",2014-05-09,2014-05-09,762.54,2014-05-09,100.32,762.54,100.32
"1591",2014-05-10,NA,NA,NA,NA,763.386666666667,100.51
"1592",2014-05-11,NA,NA,NA,NA,764.233333333333,100.7
"1593",2014-05-12,2014-05-12,765.08,2014-05-12,100.89,765.08,100.89
"1594",2014-05-13,2014-05-13,766.67,2014-05-13,102.01,766.67,102.01
"1595",2014-05-14,2014-05-14,775.2,2014-05-14,102.63,775.2,102.63
"1596",2014-05-15,2014-05-15,777.85,2014-05-15,101.74,777.85,101.74
"1597",2014-05-16,2014-05-16,769.72,2014-05-16,102.31,769.72,102.31
"1598",2014-05-17,NA,NA,NA,NA,771.096666666667,102.523333333333
"1599",2014-05-18,NA,NA,NA,NA,772.473333333333,102.736666666667
"1600",2014-05-19,2014-05-19,773.85,2014-05-19,102.95,773.85,102.95
"1601",2014-05-20,2014-05-20,767.56,2014-05-20,102.8,767.56,102.8
"1602",2014-05-21,2014-05-21,764.81,2014-05-21,104.31,764.81,104.31
"1603",2014-05-22,2014-05-22,767.02,2014-05-22,104.03,767.02,104.03
"1604",2014-05-23,2014-05-23,767.18,2014-05-23,105.01,767.18,105.01
"1605",2014-05-24,NA,NA,NA,NA,766.1025,104.9525
"1606",2014-05-25,NA,NA,NA,NA,765.025,104.895
"1607",2014-05-26,NA,NA,2014-05-26,NA,763.9475,104.8375
"1608",2014-05-27,2014-05-27,762.87,2014-05-27,104.78,762.87,104.78
"1609",2014-05-28,2014-05-28,754.52,2014-05-28,103.37,754.52,103.37
"1610",2014-05-29,2014-05-29,749.82,2014-05-29,104.26,749.82,104.26
"1611",2014-05-30,2014-05-30,749.33,2014-05-30,103.4,749.33,103.4
"1612",2014-05-31,NA,NA,NA,NA,747.383333333333,103.29
"1613",2014-06-01,NA,NA,NA,NA,745.436666666667,103.18
"1614",2014-06-02,2014-06-02,743.49,2014-06-02,103.07,743.49,103.07
"1615",2014-06-03,2014-06-03,742.26,2014-06-03,103.34,742.26,103.34
"1616",2014-06-04,2014-06-04,744.73,2014-06-04,103.27,744.73,103.27
"1617",2014-06-05,2014-06-05,742.69,2014-06-05,103.17,742.69,103.17
"1618",2014-06-06,2014-06-06,745.9,2014-06-06,103.32,745.9,103.32
"1619",2014-06-07,NA,NA,NA,NA,746.156666666667,103.91
"1620",2014-06-08,NA,NA,NA,NA,746.413333333333,104.5
"1621",2014-06-09,2014-06-09,746.67,2014-06-09,105.09,746.67,105.09
"1622",2014-06-10,2014-06-10,746.22,2014-06-10,105.02,746.22,105.02
"1623",2014-06-11,2014-06-11,751.76,2014-06-11,105.04,751.76,105.04
"1624",2014-06-12,2014-06-12,749.66,2014-06-12,107.2,749.66,107.2
"1625",2014-06-13,2014-06-13,750.06,2014-06-13,107.49,750.06,107.49
"1626",2014-06-14,NA,NA,NA,NA,751.823333333333,107.5
"1627",2014-06-15,NA,NA,NA,NA,753.586666666667,107.51
"1628",2014-06-16,2014-06-16,755.35,2014-06-16,107.52,755.35,107.52
"1629",2014-06-17,2014-06-17,745.45,2014-06-17,106.95,745.45,106.95
"1630",2014-06-18,2014-06-18,748.81,2014-06-18,106.64,748.81,106.64
"1631",2014-06-19,2014-06-19,753.14,2014-06-19,107.08,753.14,107.08
"1632",2014-06-20,2014-06-20,768.42,2014-06-20,107.95,768.42,107.95
"1633",2014-06-21,NA,NA,NA,NA,769.45,107.576666666667
"1634",2014-06-22,NA,NA,NA,NA,770.48,107.203333333333
"1635",2014-06-23,2014-06-23,771.51,2014-06-23,106.83,771.51,106.83
"1636",2014-06-24,2014-06-24,778.51,2014-06-24,106.64,778.51,106.64
"1637",2014-06-25,2014-06-25,773.22,2014-06-25,107.04,773.22,107.04
"1638",2014-06-26,2014-06-26,770.56,2014-06-26,106.49,770.56,106.49
"1639",2014-06-27,2014-06-27,772.45,2014-06-27,106.46,772.45,106.46
"1640",2014-06-28,NA,NA,NA,NA,772.146666666667,106.33
"1641",2014-06-29,NA,NA,NA,NA,771.843333333333,106.2
"1642",2014-06-30,2014-06-30,771.54,2014-06-30,106.07,771.54,106.07
"1643",2014-07-01,2014-07-01,773.39,2014-07-01,106.06,773.39,106.06
"1644",2014-07-02,2014-07-02,772.8,2014-07-02,105.18,772.8,105.18
"1645",2014-07-03,2014-07-03,771.27,2014-07-03,104.76,771.27,104.76
"1646",2014-07-04,2014-07-04,770.69,2014-07-04,NA,770.69,104.6175
"1647",2014-07-05,NA,NA,NA,NA,769.116666666667,104.475
"1648",2014-07-06,NA,NA,NA,NA,767.543333333333,104.3325
"1649",2014-07-07,2014-07-07,765.97,2014-07-07,104.19,765.97,104.19
"1650",2014-07-08,2014-07-08,770.73,2014-07-08,104.06,770.73,104.06
"1651",2014-07-09,2014-07-09,773.08,2014-07-09,102.93,773.08,102.93
"1652",2014-07-10,2014-07-10,784.61,2014-07-10,103.61,784.61,103.61
"1653",2014-07-11,2014-07-11,779.39,2014-07-11,101.48,779.39,101.48
"1654",2014-07-12,NA,NA,NA,NA,776.77,101.563333333333
"1655",2014-07-13,NA,NA,NA,NA,774.15,101.646666666667
"1656",2014-07-14,2014-07-14,771.53,2014-07-14,101.73,771.53,101.73
"1657",2014-07-15,2014-07-15,765.51,2014-07-15,100.56,765.51,100.56
"1658",2014-07-16,2014-07-16,757.4,2014-07-16,101.88,757.4,101.88
"1659",2014-07-17,2014-07-17,761.35,2014-07-17,103.84,761.35,103.84
"1660",2014-07-18,2014-07-18,765.78,2014-07-18,103.83,765.78,103.83
