period,LBMA Gold Prices - daily - euro - AM (LBMA/gold_D/gold_D_EUR_AM)
1979-12-14,209.05
1979-12-17,209.22
1979-12-18,215.29
1979-12-19,224.24
1979-12-20,216.74
1979-12-21,216.21
1979-12-24,220.46
1979-12-27,228.81
1979-12-28,230.53
1979-12-31,235.19
1980-01-02,251.12
1980-01-03,281.58
1980-01-04,266.29
1980-01-07,281.65
1980-01-08,273.06
1980-01-09,265.24
1980-01-10,268.48
1980-01-11,269.73
1980-01-14,285.98
1980-01-15,297.88
1980-01-16,335.67
1980-01-17,322.59
1980-01-18,361.82
1980-01-21,367.75
1980-01-22,334.55
1980-01-23,286.03
1980-01-24,312.28
1980-01-25,303.34
1980-01-28,277.83
1980-01-29,301.07
1980-01-30,310.95
1980-01-31,294.73
1980-02-01,296.85
1980-02-04,295.67
1980-02-05,288.72
1980-02-06,302.64
1980-02-07,305.12
1980-02-08,298.4
1980-02-11,309.74
1980-02-12,305.51
1980-02-13,301.47
1980-02-14,298.16
1980-02-15,292.02
1980-02-18,289.84
1980-02-19,289.1
1980-02-20,274.58
1980-02-21,283.16
1980-02-22,281.53
1980-02-25,274.69
1980-02-26,279.44
1980-02-27,274.94
1980-02-28,278.93
1980-02-29,280.6
1980-03-03,281.32
1980-03-04,282.6
1980-03-05,286.29
1980-03-06,283.95
1980-03-07,270.74
1980-03-10,271.14
1980-03-11,256.27
1980-03-12,260.16
1980-03-13,257.92
1980-03-14,227.9
1980-03-17,219.8
1980-03-18,217.03
1980-03-19,234.28
1980-03-20,254.77
1980-03-21,244.94
1980-03-24,249.14
1980-03-25,250.01
1980-03-26,238.18
1980-03-27,222.81
1980-03-28,225.16
1980-03-31,231.54
1980-04-01,234.95
1980-04-02,232.03
1980-04-03,228.52
1980-04-08,242.24
1980-04-09,250.52
1980-04-10,245.67
1980-04-11,242.45
1980-04-14,240.54
1980-04-15,225.23
1980-04-16,233.7
1980-04-17,229.27
1980-04-18,230.05
1980-04-21,227.18
1980-04-22,220.34
1980-04-23,224.62
1980-04-24,226.96
1980-04-25,242.42
1980-04-28,233.05
1980-04-29,224.66
1980-04-30,229.17
1980-05-01,224.27
1980-05-02,225.17
1980-05-06,226.16
1980-05-07,222.62
1980-05-08,224.65
1980-05-09,224.0
1980-05-12,224.33
1980-05-13,222.87
1980-05-14,226.67
1980-05-15,225.19
1980-05-16,225.47
1980-05-19,225.62
1980-05-20,222.82
1980-05-21,221.54
1980-05-22,218.33
1980-05-23,218.63
1980-05-27,217.79
1980-05-28,221.83
1980-05-29,221.8
1980-05-30,228.17
1980-06-02,239.02
1980-06-03,237.56
1980-06-04,244.6
1980-06-05,249.62
1980-06-06,256.43
1980-06-09,266.79
1980-06-10,260.36
1980-06-11,254.69
1980-06-12,251.23
1980-06-13,259.7
1980-06-16,255.82
1980-06-17,253.16
1980-06-18,258.16
1980-06-19,257.37
1980-06-20,258.59
1980-06-23,254.68
1980-06-24,256.8
1980-06-25,264.74
1980-06-26,267.24
1980-06-27,269.24
1980-06-30,280.78
1980-07-01,278.14
1980-07-02,284.77
1980-07-03,281.15
1980-07-04,284.11
1980-07-07,281.88
1980-07-08,289.05
1980-07-09,285.41
1980-07-10,280.06
1980-07-11,279.37
1980-07-14,272.94
1980-07-15,261.8
1980-07-16,263.26
1980-07-17,265.46
1980-07-18,256.86
1980-07-21,261.29
1980-07-22,256.64
1980-07-23,264.79
1980-07-24,266.71
1980-07-25,272.23
1980-07-28,268.69
1980-07-29,271.6
1980-07-30,268.32
1980-07-31,264.39
1980-08-01,266.32
1980-08-04,265.68
1980-08-05,269.57
1980-08-06,265.58
1980-08-07,266.91
1980-08-08,266.46
1980-08-11,259.2
1980-08-12,258.59
1980-08-13,258.97
1980-08-14,262.07
1980-08-15,263.34
1980-08-18,256.99
1980-08-19,262.93
1980-08-20,263.32
1980-08-21,270.48
1980-08-22,270.17
1980-08-26,265.24
1980-08-27,265.03
1980-08-28,264.89
1980-08-29,265.09
1980-09-01,260.56
1980-09-02,261.82
1980-09-03,263.39
1980-09-04,264.31
1980-09-05,267.92
1980-09-08,273.18
1980-09-09,278.4
1980-09-10,285.83
1980-09-11,280.12
1980-09-12,287.1
1980-09-15,280.68
1980-09-16,280.0
1980-09-17,283.57
1980-09-18,281.63
1980-09-19,282.6
1980-09-22,291.88
1980-09-23,298.63
1980-09-24,295.57
1980-09-25,293.69
1980-09-26,290.93
1980-09-29,287.83
1980-09-30,280.51
1980-10-01,284.44
1980-10-02,283.18
1980-10-03,280.67
1980-10-06,280.08
1980-10-07,284.01
1980-10-08,281.77
1980-10-09,285.17
1980-10-10,284.59
1980-10-13,283.82
1980-10-14,279.41
1980-10-15,280.65
1980-10-16,279.67
1980-10-17,276.16
1980-10-20,274.86
1980-10-21,267.98
1980-10-22,270.07
1980-10-23,266.45
1980-10-24,255.54
1980-10-27,259.14
1980-10-28,259.19
1980-10-29,263.57
1980-10-30,263.3
1980-10-31,260.85
1980-11-03,260.28
1980-11-04,264.22
1980-11-05,267.29
1980-11-06,259.08
1980-11-07,248.54
1980-11-10,256.87
1980-11-11,249.76
1980-11-12,256.9
1980-11-13,255.18
1980-11-14,254.93
1980-11-17,254.46
1980-11-18,257.47
1980-11-19,262.9
1980-11-20,265.7
1980-11-21,267.85
1980-11-24,269.75
1980-11-25,260.07
1980-11-26,263.09
1980-11-27,262.01
1980-11-28,263.21
1980-12-01,269.74
1980-12-02,267.2
1980-12-03,267.88
1980-12-04,269.29
1980-12-05,265.09
1980-12-08,262.7
1980-12-09,261.7
1980-12-10,254.33
1980-12-11,245.33
1980-12-12,239.04
1980-12-15,248.45
1980-12-16,240.86
1980-12-17,246.39
1980-12-18,248.28
1980-12-19,245.98
1980-12-22,252.77
1980-12-23,251.37
1980-12-24,254.32
1980-12-29,253.58
1980-12-30,246.85
1980-12-31,247.12
1981-01-05,246.87
1981-01-06,246.5
1981-01-07,243.13
1981-01-08,238.57
1981-01-09,241.33
1981-01-12,234.37
1981-01-13,236.92
1981-01-14,234.32
1981-01-15,236.02
1981-01-16,234.97
1981-01-19,231.18
1981-01-20,233.53
1981-01-21,237.23
1981-01-22,234.3
1981-01-23,229.28
1981-01-26,220.07
1981-01-27,214.27
1981-01-28,217.77
1981-01-29,209.94
1981-01-30,212.7
1981-02-02,208.34
1981-02-03,206.2
1981-02-04,214.76
1981-02-05,211.9
1981-02-06,217.01
1981-02-09,220.18
1981-02-10,221.21
1981-02-11,216.0
1981-02-12,212.08
1981-02-13,214.08
1981-02-16,216.3
1981-02-17,220.43
1981-02-18,221.49
1981-02-19,222.28
1981-02-20,222.64
1981-02-23,223.23
1981-02-24,224.04
1981-02-25,226.69
1981-02-26,222.61
1981-02-27,222.06
1981-03-02,217.84
1981-03-03,213.71
1981-03-04,214.67
1981-03-05,207.43
1981-03-06,210.77
1981-03-09,216.34
1981-03-10,218.98
1981-03-11,213.52
1981-03-12,215.35
1981-03-13,221.52
1981-03-16,224.29
1981-03-17,221.49
1981-03-18,224.43
1981-03-19,225.63
1981-03-20,224.6
1981-03-23,238.64
1981-03-24,235.25
1981-03-25,235.38
1981-03-26,236.28
1981-03-27,244.2
1981-03-30,236.54
1981-03-31,229.15
1981-04-01,230.49
1981-04-02,230.94
1981-04-03,236.45
1981-04-06,245.18
1981-04-07,237.16
1981-04-08,230.37
1981-04-09,233.2
1981-04-10,224.1
1981-04-13,220.34
1981-04-14,222.22
1981-04-15,221.62
1981-04-16,223.3
1981-04-21,222.89
1981-04-22,228.79
1981-04-23,224.77
1981-04-24,226.51
1981-04-27,225.23
1981-04-28,224.53
1981-04-29,223.23
1981-04-30,224.8
1981-05-01,226.25
1981-05-05,225.63
1981-05-06,227.85
1981-05-07,226.76
1981-05-08,228.48
1981-05-11,237.33
1981-05-12,232.51
1981-05-13,232.05
1981-05-14,232.34
1981-05-15,232.23
1981-05-18,230.61
1981-05-19,230.8
1981-05-20,229.71
1981-05-21,230.0
1981-05-22,228.11
1981-05-26,226.3
1981-05-27,226.62
1981-05-28,228.41
1981-05-29,230.83
1981-06-01,232.26
1981-06-02,231.94
1981-06-03,234.19
1981-06-04,237.64
1981-06-05,237.61
1981-06-08,238.22
1981-06-09,238.78
1981-06-10,235.75
1981-06-11,238.2
1981-06-12,239.12
1981-06-15,238.41
1981-06-16,233.08
1981-06-17,231.3
1981-06-18,231.69
1981-06-19,233.06
1981-06-22,232.75
1981-06-23,232.21
1981-06-24,232.26
1981-06-25,230.54
1981-06-26,228.5
1981-06-29,220.85
1981-06-30,216.55
1981-07-01,220.67
1981-07-02,217.05
1981-07-03,218.17
1981-07-06,213.49
1981-07-07,210.49
1981-07-08,211.25
1981-07-09,214.96
1981-07-10,218.84
1981-07-13,219.87
1981-07-14,217.15
1981-07-15,217.17
1981-07-16,221.71
1981-07-17,220.89
1981-07-20,221.38
1981-07-21,220.48
1981-07-22,221.22
1981-07-23,219.87
1981-07-24,219.8
1981-07-27,218.3
1981-07-28,216.73
1981-07-30,217.32
1981-07-31,217.9
1981-08-03,215.52
1981-08-04,216.56
1981-08-05,216.97
1981-08-06,218.78
1981-08-07,222.63
1981-08-10,222.27
1981-08-11,223.91
1981-08-12,228.7
1981-08-13,225.95
1981-08-14,229.21
1981-08-17,226.91
1981-08-18,228.13
1981-08-19,235.21
1981-08-20,232.2
1981-08-21,229.82
1981-08-24,228.57
1981-08-25,224.44
1981-08-26,225.38
1981-08-27,225.32
1981-08-28,231.38
1981-09-01,230.6
1981-09-02,234.09
1981-09-03,235.4
1981-09-04,238.4
1981-09-07,240.31
1981-09-08,240.58
1981-09-09,243.92
1981-09-10,250.42
1981-09-11,249.24
1981-09-14,256.04
1981-09-15,251.06
1981-09-16,243.24
1981-09-17,246.35
1981-09-18,243.46
1981-09-21,249.46
1981-09-22,250.52
1981-09-23,249.91
1981-09-24,251.0
1981-09-25,252.3
1981-09-28,242.07
1981-09-29,240.12
1981-09-30,237.21
1981-10-01,237.58
1981-10-02,236.56
1981-10-05,240.32
1981-10-06,234.29
1981-10-07,239.42
1981-10-08,235.47
1981-10-09,236.1
1981-10-12,238.88
1981-10-13,237.76
1981-10-14,239.64
1981-10-15,240.05
1981-10-16,239.46
1981-10-19,239.28
1981-10-20,238.13
1981-10-21,236.13
1981-10-22,238.37
1981-10-23,237.7
1981-10-26,236.4
1981-10-27,235.35
1981-10-28,237.48
1981-10-29,232.07
1981-10-30,232.52
1981-11-02,229.97
1981-11-03,228.99
1981-11-04,229.26
1981-11-05,228.27
1981-11-06,228.32
1981-11-09,227.09
1981-11-10,224.33
1981-11-11,220.37
1981-11-12,218.53
1981-11-13,217.15
1981-11-16,211.91
1981-11-17,207.74
1981-11-18,211.42
1981-11-19,208.42
1981-11-20,210.15
1981-11-23,208.97
1981-11-24,208.6
1981-11-25,211.02
1981-11-26,211.32
1981-11-27,211.11
1981-11-30,211.7
1981-12-01,207.25
1981-12-02,207.66
1981-12-03,215.57
1981-12-04,217.04
1981-12-07,214.01
1981-12-08,215.24
1981-12-09,212.13
1981-12-10,213.54
1981-12-11,216.17
1981-12-14,223.84
1981-12-15,220.14
1981-12-16,221.11
1981-12-17,220.46
1981-12-18,220.76
1981-12-21,219.73
1981-12-22,214.08
1981-12-23,212.21
1981-12-24,213.57
1981-12-29,209.32
1981-12-30,208.8
1981-12-31,208.75
1982-01-04,206.15
1982-01-05,208.76
1982-01-06,208.51
1982-01-07,206.94
1982-01-08,207.59
1982-01-11,206.13
1982-01-12,207.38
1982-01-13,206.07
1982-01-14,199.25
1982-01-15,201.87
1982-01-18,198.01
1982-01-19,199.08
1982-01-20,197.01
1982-01-21,198.7
1982-01-22,201.7
1982-01-25,201.08
1982-01-26,201.35
1982-01-27,203.73
1982-01-28,204.09
1982-01-29,206.08
1982-02-01,203.58
1982-02-02,202.94
1982-02-03,202.78
1982-02-04,205.49
1982-02-05,205.4
1982-02-08,204.87
1982-02-09,204.71
1982-02-10,206.76
1982-02-11,205.78
1982-02-12,205.59
1982-02-15,205.11
1982-02-16,205.32
1982-02-17,204.0
1982-02-18,199.37
1982-02-19,198.8
1982-02-22,196.07
1982-02-23,195.58
1982-02-24,198.33
1982-02-25,200.76
1982-02-26,199.75
1982-03-01,197.3
1982-03-02,199.23
1982-03-03,196.12
1982-03-04,190.24
1982-03-05,184.93
1982-03-08,183.41
1982-03-09,179.74
1982-03-10,183.69
1982-03-11,184.55
1982-03-12,178.87
1982-03-15,173.76
1982-03-16,177.25
1982-03-17,173.82
1982-03-18,178.27
1982-03-19,175.08
1982-03-22,176.41
1982-03-23,181.29
1982-03-24,184.03
1982-03-25,181.67
1982-03-26,180.66
1982-03-29,179.04
1982-03-30,182.82
1982-03-31,180.02
1982-04-01,182.37
1982-04-02,182.25
1982-04-05,189.19
1982-04-06,196.81
1982-04-07,202.53
1982-04-08,200.97
1982-04-13,199.92
1982-04-14,206.69
1982-04-15,206.06
1982-04-16,206.79
1982-04-19,202.49
1982-04-20,195.34
1982-04-21,195.73
1982-04-22,194.19
1982-04-23,195.71
1982-04-26,203.78
1982-04-27,197.25
1982-04-28,201.46
1982-04-29,197.59
1982-04-30,198.98
1982-05-04,190.15
1982-05-05,189.49
1982-05-06,184.31
1982-05-07,184.18
1982-05-10,179.59
1982-05-11,180.18
1982-05-12,180.84
1982-05-13,180.62
1982-05-14,181.96
1982-05-17,184.45
1982-05-18,186.98
1982-05-19,189.71
1982-05-20,190.97
1982-05-21,191.23
1982-05-24,184.05
1982-05-25,180.34
1982-05-26,184.26
1982-05-27,180.6
1982-05-28,181.74
1982-06-01,178.09
1982-06-02,177.5
1982-06-03,179.54
1982-06-04,177.34
1982-06-07,180.49
1982-06-08,184.78
1982-06-09,183.83
1982-06-10,185.51
1982-06-11,184.33
1982-06-14,182.44
1982-06-15,178.34
1982-06-16,179.95
1982-06-17,179.25
1982-06-18,177.34
1982-06-21,172.57
1982-06-22,173.72
1982-06-23,174.45
1982-06-24,178.46
1982-06-25,176.54
1982-06-28,176.88
1982-06-29,179.94
1982-06-30,180.46
1982-07-01,179.97
1982-07-02,180.35
1982-07-05,181.9
1982-07-06,181.25
1982-07-07,179.96
1982-07-08,181.49
1982-07-09,187.58
1982-07-12,194.99
1982-07-13,195.93
1982-07-14,204.89
1982-07-15,201.59
1982-07-16,200.98
1982-07-19,200.97
1982-07-20,198.07
1982-07-21,207.51
1982-07-22,205.08
1982-07-23,206.44
1982-07-26,202.67
1982-07-27,200.07
1982-07-28,197.29
1982-07-29,196.48
1982-07-30,196.88
1982-08-02,200.95
1982-08-03,202.2
1982-08-04,200.23
1982-08-05,201.07
1982-08-06,202.63
1982-08-09,199.46
1982-08-10,197.8
1982-08-11,196.25
1982-08-12,196.34
1982-08-13,197.28
1982-08-16,198.15
1982-08-17,198.57
1982-08-18,203.5
1982-08-19,206.58
1982-08-20,217.29
1982-08-23,219.46
1982-08-24,234.94
1982-08-25,223.63
1982-08-26,237.59
1982-08-27,242.31
1982-08-31,238.56
1982-09-01,235.51
1982-09-02,235.62
1982-09-03,261.13
1982-09-06,265.28
1982-09-07,282.04
1982-09-08,272.17
1982-09-09,277.0
1982-09-10,261.52
1982-09-13,257.99
1982-09-14,264.17
1982-09-15,260.06
1982-09-16,262.04
1982-09-17,260.83
1982-09-20,248.54
1982-09-21,249.17
1982-09-22,257.25
1982-09-23,254.82
1982-09-24,256.66
1982-09-27,243.25
1982-09-28,241.18
1982-09-29,242.84
1982-09-30,233.3
1982-10-01,234.21
1982-10-04,232.92
1982-10-05,229.9
1982-10-06,238.17
1982-10-07,246.21
1982-10-08,255.92
1982-10-11,251.6
1982-10-12,257.27
1982-10-13,250.61
1982-10-14,261.44
1982-10-15,256.95
1982-10-18,249.08
1982-10-19,257.48
1982-10-20,252.65
1982-10-21,254.86
1982-10-22,251.0
1982-10-25,249.57
1982-10-26,247.14
1982-10-27,250.07
1982-10-28,248.44
1982-10-29,251.72
1982-11-01,254.25
1982-11-02,256.19
1982-11-03,257.73
1982-11-04,255.17
1982-11-05,253.45
1982-11-08,248.04
1982-11-09,247.51
1982-11-10,247.6
1982-11-11,246.42
1982-11-12,241.96
1982-11-15,247.33
1982-11-16,248.08
1982-11-17,257.31
1982-11-18,255.22
1982-11-19,257.73
1982-11-22,259.84
1982-11-23,253.92
1982-11-24,253.76
1982-11-25,257.37
1982-11-26,263.03
1982-11-29,266.36
1982-11-30,265.75
1982-12-01,269.25
1982-12-02,267.69
1982-12-03,269.08
1982-12-06,271.41
1982-12-07,281.94
1982-12-08,274.27
1982-12-09,273.71
1982-12-10,271.49
1982-12-13,272.97
1982-12-14,278.14
1982-12-15,269.17
1982-12-16,272.73
1982-12-17,271.5
1982-12-20,273.0
1982-12-21,273.61
1982-12-22,278.1
1982-12-23,276.71
1982-12-24,278.57
1982-12-29,280.56
1982-12-30,282.17
1982-12-31,277.49
1983-01-04,278.19
1983-01-05,280.11
1983-01-06,283.94
1983-01-07,283.66
1983-01-10,295.97
1983-01-11,311.09
1983-01-12,305.6
1983-01-13,312.1
1983-01-14,305.8
1983-01-17,311.26
1983-01-18,308.23
1983-01-19,317.2
1983-01-20,311.2
1983-01-21,310.58
1983-01-24,307.33
1983-01-25,315.86
1983-01-26,315.1
1983-01-27,320.77
1983-01-28,320.58
1983-01-31,327.79
1983-02-01,333.95
1983-02-02,327.47
1983-02-03,332.24
1983-02-04,329.17
1983-02-07,321.71
1983-02-08,322.51
1983-02-09,319.13
1983-02-10,319.61
1983-02-11,327.09
1983-02-14,325.7
1983-02-15,330.43
1983-02-16,328.31
1983-02-17,326.87
1983-02-18,325.5
1983-02-21,326.9
1983-02-22,328.75
1983-02-23,315.61
1983-02-24,310.96
1983-02-25,308.43
1983-02-28,275.61
1983-03-01,274.74
1983-03-02,286.38
1983-03-03,285.74
1983-03-04,274.4
1983-03-07,277.56
1983-03-08,280.14
1983-03-09,281.76
1983-03-10,286.91
1983-03-11,281.26
1983-03-14,286.4
1983-03-15,288.18
1983-03-16,281.04
1983-03-17,276.45
1983-03-18,279.74
1983-03-21,279.5
1983-03-22,285.02
1983-03-23,281.66
1983-03-24,284.05
1983-03-25,281.58
1983-03-28,282.91
1983-03-29,282.77
1983-03-30,285.94
1983-03-31,280.37
1983-04-05,285.03
1983-04-06,283.4
1983-04-07,281.93
1983-04-08,280.5
1983-04-11,281.05
1983-04-12,282.62
1983-04-13,278.01
1983-04-14,284.48
1983-04-15,282.28
1983-04-18,284.34
1983-04-19,282.56
1983-04-20,279.24
1983-04-21,285.3
1983-04-22,281.45
1983-04-25,283.19
1983-04-26,276.97
1983-04-27,278.7
1983-04-28,273.28
1983-04-29,273.98
1983-05-03,273.13
1983-05-04,274.53
1983-05-05,276.63
1983-05-06,273.85
1983-05-09,275.32
1983-05-10,279.78
1983-05-11,282.69
1983-05-12,279.14
1983-05-13,279.84
1983-05-16,280.55
1983-05-17,281.17
1983-05-18,283.03
1983-05-19,283.05
1983-05-20,282.1
1983-05-23,278.58
1983-05-24,278.2
1983-05-25,277.31
1983-05-26,277.08
1983-05-27,272.57
1983-05-31,272.5
1983-06-01,261.55
1983-06-02,259.03
1983-06-03,262.75
1983-06-06,257.76
1983-06-07,256.54
1983-06-08,255.48
1983-06-09,257.95
1983-06-10,261.55
1983-06-13,263.68
1983-06-14,267.29
1983-06-15,268.89
1983-06-16,269.08
1983-06-17,271.78
1983-06-20,268.27
1983-06-21,270.61
1983-06-22,275.38
1983-06-23,273.17
1983-06-24,273.13
1983-06-27,273.95
1983-06-28,271.17
1983-06-29,271.1
1983-06-30,272.44
1983-07-01,271.68
1983-07-04,271.95
1983-07-05,270.16
1983-07-06,268.1
1983-07-07,267.83
1983-07-08,273.98
1983-07-11,277.66
1983-07-12,280.42
1983-07-13,278.76
1983-07-14,277.39
1983-07-15,277.83
1983-07-18,277.27
1983-07-19,278.51
1983-07-20,279.8
1983-07-21,280.65
1983-07-22,278.34
1983-07-25,278.6
1983-07-26,279.75
1983-07-27,278.4
1983-07-28,278.89
1983-07-29,277.76
1983-08-01,272.65
1983-08-02,273.46
1983-08-03,273.67
1983-08-04,277.72
1983-08-05,276.63
1983-08-08,276.8
1983-08-09,275.99
1983-08-10,274.75
1983-08-11,278.37
1983-08-12,277.27
1983-08-15,278.73
1983-08-16,279.65
1983-08-17,279.0
1983-08-18,276.66
1983-08-19,275.81
1983-08-22,275.9
1983-08-23,277.54
1983-08-24,278.29
1983-08-25,278.84
1983-08-26,279.5
1983-08-30,279.33
1983-08-31,278.0
1983-09-01,276.56
1983-09-02,279.43
1983-09-05,279.57
1983-09-06,278.78
1983-09-07,276.31
1983-09-08,278.1
1983-09-09,277.78
1983-09-12,276.92
1983-09-13,271.44
1983-09-14,272.53
1983-09-15,270.48
1983-09-16,270.44
1983-09-19,273.05
1983-09-20,273.06
1983-09-21,273.03
1983-09-22,272.79
1983-09-23,275.04
1983-09-26,276.39
1983-09-27,275.8
1983-09-28,276.18
1983-09-29,273.46
1983-09-30,270.11
1983-10-03,264.09
1983-10-04,266.4
1983-10-05,261.26
1983-10-06,266.49
1983-10-07,263.59
1983-10-10,263.27
1983-10-11,264.62
1983-10-12,263.92
1983-10-13,263.98
1983-10-14,267.85
1983-10-17,266.64
1983-10-18,264.1
1983-10-19,262.84
1983-10-20,260.17
1983-10-21,262.19
1983-10-24,264.31
1983-10-25,264.2
1983-10-26,263.68
1983-10-27,256.85
1983-10-28,258.94
1983-10-31,256.57
1983-11-01,251.59
1983-11-02,257.04
1983-11-03,256.35
1983-11-04,256.94
1983-11-07,253.87
1983-11-08,257.74
1983-11-09,256.58
1983-11-10,256.95
1983-11-11,255.93
1983-11-14,256.83
1983-11-15,258.08
1983-11-16,257.62
1983-11-17,254.53
1983-11-18,254.36
1983-11-21,254.93
1983-11-22,255.56
1983-11-23,255.23
1983-11-24,256.35
1983-11-25,257.61
1983-11-28,261.04
1983-11-29,268.44
1983-11-30,277.19
1983-12-01,272.44
1983-12-02,276.84
1983-12-05,276.72
1983-12-06,275.15
1983-12-07,275.94
1983-12-08,279.01
1983-12-09,270.77
1983-12-12,272.21
1983-12-13,273.32
1983-12-14,275.27
1983-12-15,273.86
1983-12-16,268.56
1983-12-19,265.15
1983-12-20,264.14
1983-12-21,266.37
1983-12-22,265.58
1983-12-23,265.01
1983-12-28,264.22
1983-12-29,263.01
1983-12-30,262.98
1984-01-03,267.32
1984-01-04,265.57
1984-01-05,266.23
1984-01-06,266.0
1984-01-09,260.64
1984-01-10,263.06
1984-01-11,262.97
1984-01-12,265.08
1984-01-13,264.1
1984-01-16,262.59
1984-01-17,258.5
1984-01-18,261.32
1984-01-19,263.33
1984-01-20,262.69
1984-01-23,263.82
1984-01-24,260.58
1984-01-25,261.6
1984-01-26,261.52
1984-01-27,260.83
1984-01-30,262.53
1984-01-31,264.98
1984-02-01,268.33
1984-02-02,269.69
1984-02-03,271.43
1984-02-06,266.7
1984-02-07,268.12
1984-02-08,271.67
1984-02-09,269.43
1984-02-10,268.94
1984-02-13,266.13
1984-02-14,264.55
1984-02-15,266.46
1984-02-16,265.31
1984-02-17,264.36
1984-02-20,266.0
1984-02-21,267.94
1984-02-22,270.35
1984-02-23,273.84
1984-02-24,269.0
1984-02-27,269.0
1984-02-28,268.13
1984-02-29,266.26
1984-03-01,265.89
1984-03-02,267.3
1984-03-05,272.96
1984-03-06,271.59
1984-03-07,270.76
1984-03-08,269.53
1984-03-09,274.82
1984-03-12,273.38
1984-03-13,272.92
1984-03-14,270.91
1984-03-15,269.5
1984-03-16,270.34
1984-03-19,272.42
1984-03-20,273.31
1984-03-21,274.03
1984-03-22,273.81
1984-03-23,271.14
1984-03-26,269.47
1984-03-27,268.35
1984-03-28,266.81
1984-03-29,268.47
1984-03-30,269.14
1984-04-02,268.64
1984-04-03,266.82
1984-04-04,265.99
1984-04-05,265.79
1984-04-06,266.07
1984-04-09,266.23
1984-04-10,267.16
1984-04-11,266.72
1984-04-12,265.94
1984-04-13,265.23
1984-04-16,266.57
1984-04-17,267.2
1984-04-18,267.6
1984-04-19,271.24
1984-04-24,271.71
1984-04-25,271.0
1984-04-26,269.97
1984-04-27,268.88
1984-04-30,269.2
1984-05-01,269.53
1984-05-02,269.83
1984-05-03,269.48
1984-05-04,267.82
1984-05-08,267.81
1984-05-09,268.58
1984-05-10,268.19
1984-05-11,269.31
1984-05-14,268.6
1984-05-15,269.18
1984-05-16,268.37
1984-05-17,269.58
1984-05-18,269.59
1984-05-21,272.85
1984-05-22,272.81
1984-05-23,272.4
1984-05-24,272.85
1984-05-25,274.93
1984-05-29,278.84
1984-05-30,278.0
1984-05-31,276.92
1984-06-01,279.68
1984-06-04,279.79
1984-06-05,281.23
1984-06-06,281.81
1984-06-07,280.24
1984-06-08,277.63
1984-06-11,274.73
1984-06-12,270.74
1984-06-13,270.14
1984-06-14,271.15
1984-06-15,270.55
1984-06-18,267.74
1984-06-19,268.9
1984-06-20,269.85
1984-06-21,270.96
1984-06-22,273.72
1984-06-25,273.76
1984-06-26,272.73
1984-06-27,273.22
1984-06-28,276.31
1984-06-29,277.31
1984-07-02,274.98
1984-07-03,275.62
1984-07-04,276.28
1984-07-05,275.33
1984-07-06,270.76
1984-07-09,253.88
1984-07-10,264.39
1984-07-11,256.79
1984-07-12,259.46
1984-07-13,259.28
1984-07-16,266.39
1984-07-17,262.76
1984-07-18,262.55
1984-07-19,267.18
1984-07-20,261.61
1984-07-23,254.04
1984-07-24,255.87
1984-07-25,254.66
1984-07-26,258.27
1984-07-27,255.43
1984-07-30,259.09
1984-07-31,261.52
1984-08-01,259.34
1984-08-02,262.41
1984-08-03,263.3
1984-08-06,265.06
1984-08-07,263.77
1984-08-08,263.22
1984-08-09,263.19
1984-08-10,265.29
1984-08-13,262.39
1984-08-14,265.27
1984-08-15,267.03
1984-08-16,264.64
1984-08-17,265.19
1984-08-20,264.88
1984-08-21,262.82
1984-08-22,263.36
1984-08-23,268.04
1984-08-24,267.28
1984-08-28,266.07
1984-08-29,266.1
1984-08-30,265.96
1984-08-31,265.12
1984-09-03,264.88
1984-09-04,263.45
1984-09-05,263.59
1984-09-06,265.09
1984-09-07,265.4
1984-09-10,264.74
1984-09-11,265.4
1984-09-12,265.23
1984-09-13,265.33
1984-09-14,266.93
1984-09-17,269.6
1984-09-18,274.87
1984-09-19,275.45
1984-09-20,274.64
1984-09-21,280.02
1984-09-24,277.58
1984-09-25,278.31
1984-09-26,281.67
1984-09-27,276.42
1984-09-28,275.76
1984-10-01,279.6
1984-10-02,277.81
1984-10-03,277.64
1984-10-04,278.92
1984-10-05,278.47
1984-10-08,276.3
1984-10-09,276.88
1984-10-10,275.42
1984-10-11,276.45
1984-10-12,275.61
1984-10-15,278.69
1984-10-16,282.7
1984-10-17,281.69
1984-10-18,283.48
1984-10-19,284.18
1984-10-22,283.27
1984-10-23,281.82
1984-10-24,279.44
1984-10-25,278.08
1984-10-26,276.72
1984-10-29,277.06
1984-10-30,277.01
1984-10-31,274.97
1984-11-01,273.2
1984-11-02,270.38
1984-11-05,271.99
1984-11-06,272.44
1984-11-07,271.22
1984-11-08,273.66
1984-11-09,273.79
1984-11-12,273.68
1984-11-13,274.19
1984-11-14,273.91
1984-11-15,273.26
1984-11-16,273.52
1984-11-19,273.24
1984-11-20,274.41
1984-11-21,277.08
1984-11-22,277.59
1984-11-23,279.18
1984-11-26,281.44
1984-11-27,276.71
1984-11-28,274.02
1984-11-29,275.72
1984-11-30,273.67
1984-12-03,274.92
1984-12-04,275.52
1984-12-05,272.78
1984-12-06,274.44
1984-12-07,273.52
1984-12-10,271.04
1984-12-11,271.3
1984-12-12,273.11
1984-12-13,272.3
1984-12-14,270.04
1984-12-17,265.7
1984-12-18,259.73
1984-12-19,261.17
1984-12-20,259.59
